文件名,完整路径,大小(字节),大小(可读),修改时间,是否目录,MD5哈希值,SHA256哈希值,扩展名,MIME类型
qmldir,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\Models.2\qmldir,90,90 B,2020-10-27 08:02:12,false,c6d831ad43afa82977d838183de61cd2,62f50f9b9ae3b9e6628dd2660b18d326c41794586e0d76b2e40f6fa4b182e0a7,,
modelsplugin.dll,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\Models.2\modelsplugin.dll,28952,28.27 B,2022-01-06 07:40:58,false,2cb9fcf4ac799e4599f5d2c99ff234c5,50aeba7235213f99f27390c8b8afcd2a6c9dd625c94086c46f58ef3438d5472f,dll,application/x-msdownload
plugins.qmltypes,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\Models.2\plugins.qmltypes,31557,30.82 B,2022-01-06 07:30:24,false,586729654c62b631e9eb5b4fa3f38b18,d1758ab33c5741f70a7ab6e1dc3de1eff858c90e1c91f45cdefb6b0bccd2b75d,qmltypes,
plugins.qmltypes,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\RemoteObjects\plugins.qmltypes,2504,2.45 B,2020-10-27 08:02:10,false,3721c18b9889c8a0db8d66e584f65e5c,eaaf5bf02376af6bba6170ea1d588393cb791bb673c1c18a18e0ef99aa884e5d,qmltypes,
qmldir,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\RemoteObjects\qmldir,91,91 B,2020-10-27 08:02:10,false,a1eda6630c96c80e8fa7e8d870df7516,46b7932b643c11fc40268baedc58004a70f1135c50cde5d4bc2b7841864fbc12,,
plugins.qmltypes,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\StateMachine\plugins.qmltypes,6347,6.20 B,2022-01-06 07:35:14,false,428a995f7a2a2c5b9d836cf2a21cff4a,027aaeec2c36a59c719f676ccddf431fe3a428c9a23345a7fae4e27a3ce7a673,qmltypes,
qtqmlremoteobjects.dll,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\RemoteObjects\qtqmlremoteobjects.dll,37144,36.27 B,2022-01-06 07:49:26,false,eb1c20e3efdd32b23b3ecc0e1f118300,6f5dd3e64148c9f28283a50ae7604db70a4e487f7da5b67480eef1dbbeb69557,dll,application/x-msdownload
qmldir,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\StateMachine\qmldir,115,115 B,2020-10-27 08:02:12,false,48521ef985c2d6d22d0efb27b732455d,5344415b19287c163b3031bb07a2fce8cc16f8d0715682bf803d497d0557f9de,,
plugins.qmltypes,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\WorkerScript.2\plugins.qmltypes,975,975 B,2022-01-06 07:30:38,false,0a8ea31722eb7b38be541943a0f453d4,dc1e841665e661e33b7baa69e27e98fdea25d7bdc7b2151ab7cc2d37d5d3199e,qmltypes,
qmldir,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\WorkerScript.2\qmldir,89,89 B,2020-10-27 08:02:12,false,71d7d495c303e56ec10f6d88f3791ba2,3c41bb992d227afc1c613a4fedc127121c4bc9703f6398cac9b08766fd3f63c9,,
qtqmlstatemachine.dll,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\StateMachine\qtqmlstatemachine.dll,80664,78.77 B,2022-01-06 07:41:02,false,c7df4a67d44b99c14afe49a6df8dc01c,c8256a94ec4634f7be3be730eacd2b24a7d54ad74ab39c5d4483f246b4f88730,dll,application/x-msdownload
workerscriptplugin.dll,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\WorkerScript.2\workerscriptplugin.dll,28952,28.27 B,2022-01-06 07:41:08,false,d6752b7f3ec24bdef5ed5c21ebbbaf71,efd3106749bac293d8356fbaab87c99f4348ebda0e2b81a3776691fd8547c010,dll,application/x-msdownload
qmldir,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\qmldir,142,142 B,2020-10-27 08:02:12,false,f8c6d519e5c03adf7fb468932a70b17c,2650234b1afd8056c2ea8d98749fbe79f5101d0d9b6b05eb1b2a313d7ef2bc1b,,
plugins.qmltypes,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\plugins.qmltypes,8979,8.77 B,2022-01-06 07:30:04,false,5b62454b3529cf324abd07f557982507,fdc6e0fd96866417155fca9ae023339b89e40cab3e9c9e593e1c6ecac2a82821,qmltypes,
ApplicationWindow.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\ApplicationWindow.qml,10075,9.84 B,2020-10-27 08:02:10,false,5867d5245b718f84db408f61bef0586b,89dacb880798de404343b7c7c601964ea9db8c94c6d80e94488f16b4cb687a10,qml,
